,-1.68,-0.188166667,1.1127833467
       ,-0.87,0.198166667,0.5704900142
       ,-6.97,0.327666667,26.6279693913
       ,2.1,0.178666667,1.8457608882
       ,-0.83,-1.15116667,0.051574015
       ,0.49,-0.796333333,0.8273267218
       ,1.46,-0.314,1.573538
       ,-1.03,0.1025,0.641278125
       ,-2.7,-1.59633333,0.6090400592
       ,0.44,0.713833333,0.0374923471
       ,-1.88,0.0983333333,1.9569013888
       ,-2.09,-0.0778333333,2.0244073473
       ,-3.36,-2.055,0.8515125
       ,-3.01,1.41066667,9.7711469036
       ,-1.48,0.1625,1.348903125
       ,-2.96,-0.3485,3.409966125
       ,-2.85,-1.56316667,0.8279700096
       ,1.95,1.13516667,0.3319766778
       ,-0.39,-0.131666667,0.0333680555
       ,2.94,-0.5195,5.984070125
       ,-0.5,-0.753,0.0320045
       ,3.2,-0.4355,6.608430125
       ,-2.21,0.518333333,3.721901388
       ,-2.33,0.718833333,4.6476923462
       ,2.12,-1.26933333,5.7437902109
       ,-1.34,-0.472,0.376712
       ,-1.87,1.36316667,5.226683358
       ,-0.9,-1.4665,0.160461125
       ,2.36,-0.144166667,3.1354253481
       ,-0.08,0.343166667,0.089535014
       ,2.1,0.636,1.071648
       ,0.2,0.6475,0.100128125
       ,0.47,-0.471,0.4427405
       ,-2.27,1.09266667,5.6537635668
       ,1.79,-0.231166667,2.0425573479
       ,2.77,0.0998333333,3.564895014
       ,0.91,-1.71033333,3.4330733802
       ,0.66,1.3065,0.208981125
       ,-2.14,0.304833333,2.9886050131
       ,-2.35,-0.135333333,2.452374223
       ,-0.97,-2.5885,1.309771125
       ,1.04,0.152666667,0.3936802219
       ,0.29,0.0226666667,0.0357335555
       ,0.58,0.4485,0.008646125
       ,0.28,-1.91066667,2.3995102295
       ,-0.51,-0.458166667,0.0013433472
       ,-7.26,0.0673333333,26.8449068886
       ,-4.97,-0.543,9.7991645
       ,-2.16,-0.755166667,0.9867783468
       ,-2.62,-0.984166667,1.3379753467
       ,-3.1,-0.0976666667,4.5070027221
       ,-0.77,0.870833333,1.3461670133
       ,0.8,-1.0575,1.725153125
       ,0.95,0.406833333,0.1475150141
       ,-0.62,0.0016666667,0.1932347222
       ,-0.49,0.390666667,0.3877868892
       ,1.01,-1.7435,3.790881125
       ,0.33,1.11883333,0.3111290113
       ,-0.63,0.471,0.6061005
       ,-3.77,-0.394,5.698688
       ,-2.6,-1.97983333,0.1923033493
       ,-2.68,-0.464666667,2.4538508882
       ,1.36,0.756333333,0.1822067224
       ,-3.54,0.436833333,7.9076016792
       ,-0.6,-1.72933333,0.6376968851
       ,1.52,-1.38783333,4.2277473375
       ,-1.07,0.491166667,1.2186206811
       ,-0.65,-0.8125,0.013203125
       ,0.21,-1.81633333,2.0530133821
       ,-2.27,0.549833333,3.9757300129
       ,-0.72,0.288166667,0.5082000142
