11/86,-4.74,-2.01,7.4529,-2.3517301622
12/86,-4.2366666667,-6.61,5.6327111111,1.0558884736
01/87,-3.6453333333,-3.64,2.84444444444429E-005,-1.1385047921
02/87,-3.8648333333,-2.37,2.2345266944,-1.3950872279
03/87,-3.68,-1.76,3.6864,-5.316975795
04/87,-3.8785,-5.81,3.73069225,1.1234425335
05/87,-2.7413333333,-4.1,1.8459751111,-1.7396630847
06/87,1.7666666667,-1.08,8.1035111111,2.1216631037
07/87,-0.1925,3.39,12.83430625,-1.0316667834
08/87,-0.1755,-3.81,13.20959025,-1.2741942622
09/87,-2.4356666667,2.88,28.2563121111,-1.0352188573
10/87,-3.5571666667,-4.8,1.5446346944,11.4287042054
11/87,-3.7475,-1.81,3.75390625,-4.2206728367
12/87,-4.5035,-5.71,1.45564225,1.190224241
01/88,-3.2615,-5.74,6.14296225,1.1681333432
02/88,-4.434,-4.15,0.080656,-1.8754380694
03/88,-4.7341666667,-0.86,15.0091673611,1.5327139363
04/88,-5.2455,-3.94,1.70433025,-1.4329761413
05/88,-3.8901666667,-5.55,2.7550466944,1.3458109007
06/88,-0.7481666667,-2.73,3.9276633611,-1.0911255543
07/88,-0.5636666667,-2.9,5.4584534444,-1.0299104904
08/88,-0.8318333333,-2.04,1.4596666944,-2.2115274615
09/88,-3.141,-5.11,3.876961,2.5825323326
10/88,-2.839,-2.2,0.408321,-1.6992321181
11/88,-4.2773333333,-4.24,0.0013937778,-2.1977300826
12/88,-3.8705,-2.57,1.69130025,-1.1890034387
01/89,-5.3828333333,-3.88,2.2585080278,-1.3521891079
02/89,-4.8945,-2.35,6.47448025,-1.4230559144
03/89,-5.1933333333,-2.74,6.0188444444,-1.0864373729
04/89,-3.7418333333,-3.75,6.66944444444406E-005,-1.2186808804
05/89,-2.5185,-2.58,0.00378225,-1.1814632557
06/89,0.1855,-1.69,3.51750025,-8.4089034976
07/89,0.6543333333,1.16,0.2556987778,2.5041347684
08/89,-1.1288333333,3.36,20.1496246944,-1.0243343158
09/89,-1.9565,-2.15,0.03744225,-1.8269589759
10/89,-3.2686666667,-6.04,7.6802884444,1.0303161326
11/89,-4.218,-4.52,0.091204,-5.2300067354
12/89,-5.7015,-3.34,5.57668225,-1.0200108314
01/90,-3.9561666667,-5.18,1.4977680278,2.218499797
02/90,-5.755,-4.66,1.199025,-19.0967179239
03/90,-7.4905,-4.45,9.24464025,-3.855220988
04/90,-5.128,-3.43,2.883204,-1.0430812556
05/90,-3.8145,-5.78,3.86319025,1.1414860618
06/90,-1.7105,-0.56,1.32365025,1.1802820508
07/90,-0.1143333333,0.95,1.1328054444,1.7191491692
08/90,-1.3038333333,0.89,4.8129046944,1.5887843857
09/90,-3.5008333333,-0.92,6.6607006944,1.6506548834
10/90,-5.0193333333,-1.98,9.2375471111,-2.5133277132
11/90,-5.3166666667,-5.31,4.44444444444465E-005,1.7772433302
12/90,-5.9621666667,-3.15,7.9082813611,-1.0000353428
01/91,-5.893,-1.73,17.330569,-6.3078747252
02/91,-4.7275,-3.97,0.57380625,-1.4791801561
03/91,-4.6783333333,0.03,22.1684027778,1.0004501688
04/91,-4.4141666667,-2,5.8282006944,-2.4029979617
05/91,-3.559,1.71,27.762361,-7.2069716521
06/91,0.166,0.24,0.005476,1.0295077778
07/91,-0.0853333333,-1.46,1.8897084444,9.0440625063
08/91,-1.2323333333,-3.29,4.2339921111,-1.0111143438
09/91,-3.1728333333,-1.23,3.7746013611,2.9918824802
10/91,-3.2938333333,-2.49,0.6461480278,-1.2576734794
11/91,-3.8821666667,-4.8,0.8424180278,11.4287042054
12/91,-3.5705,-5.26,2.85441025,1.9206794905
01/92,-4.0013333333,-4.47,0.2196484444,-4.1662768893
02/92,-4.6735,-5.51,0.69973225,1.3972537293
03/92,-4.7695,-4.31,0.21114025,-2.5535112176
04/92,-3.999,-1.71,5.239521,-7.2069716521
05/92,-3.2511666667,-1.34,3.6525580278,4.3715310408
06/92,-1.3238333333,0.25,2.4769513611,1.032085024
07/92,0.4781666667,-3.06,12.5186233611,-1.0033379391
08/92,-0.3626666667,-0.68,0.1007004444,1.2860533502
09/92,-2.1603333333,0.5,7.0773734444,1.1394939273
10/92,-3.3961666667,-3.14,0.0656213611,-1.0000012683
11/92,-4.848,-2.06,7.772944,-2.1280076906
12/92,-3.5505,-3.93,0.14402025,-1.4184884697
01/93,-5.253,-3.59,2.765569,-1.1097070734
02/93,-4.1348333333,-3.2,0.8739133611,-1.001708137
03/93,-4.7893333333,-0.47,18.6566404444,1.1216190765
04/93,-5.1135,-3.7,1.99798225,-1.1791061934
05/93,-2.172,-2.5,0.107584,-1.2482156515
06/93,-0.067,-4.52,19.829209,-5.2300067354
07/93,0.7718333333,-1.17,3.7707166944,2.5631056848
08/93,-0.506,-1.48,0.948676,11.0288086919
09/93,-2.5178333333,-1.03,2.2136480278,1.9424308371
10/93,-2.8628333333,-3.7,0.7008480278,-1.1791061934
11/93,-4.0523333333,-4.53,0.2281654444,-5.5133039345
12/93,-5.6813333333,-2.86,7.9599217778,-1.0410007723
01/94,-5.3118333333,-3.3,4.0474733611,-1.0126789738
02/94,-5.16,-2.08,9.4864,-2.0513573631
03/94,-4.2876666667,-0.57,13.8210454444,1.1877881479
04/94,-4.332,-3.7,0.399424,-1.1791061934
05/94,-4.2586666667,-1.15,9.6638084444,2.4480556803
06/94,-1.4246666667,-0.25,1.3798417778,1.032085024
07/94,-0.7021666667,-4.49,14.3476813611,-4.5339054932
08/94,-0.5538333333,-3.56,9.0370380278,-1.0944065718
09/94,-3.2218333333,0.22,11.8462166944,1.0246978314
