2.0737550482,2.0010822072,1.763227155,1.9560930448,1.9617084391,2.3259621665,2.0205048874,1.8453725911,2.0755938909,2.1629909847,1.6594125467
2.0221646817,1.8040371393,2.0709394004,1.8289669215,2.1783227493,1.7363381007,2.0702680986,2.2129347031,1.7125478096,2.119620249,2.0806585496
1.805942967,1.7430863432,2.0195296482,1.8167801188,2.1252693947,1.8612146572,1.6626966049,1.4663730767,1.9585224022,1.6724772046,1.8057768411
1.5611438114,1.7316957008,1.4746491108,1.8046606329,1.7020193888,1.7145815816,1.5205229364,1.4775926367,1.4089038292,1.6798571368,1.7782322683
1.3872887227,1.1588183637,1.3351816356,1.5750079365,1.7614652991,1.5847838969,1.3199772725,1.558274687,1.7239576561,1.6125941833,1.6171641846
1.1897100487,1.2559777068,1.6288400781,1.1008178778,1.094554704,1.3018755701,1.165813021,1.358414517,1.3031807242,1.5827097017,1.2700708642
1.1044365079,1.3059173021,1.0701682111,1.0256802621,0.8666821793,0.8923536295,1.0390668891,1.3728692582,0.9759856556,1.1613354382,1.1162392217
1.1420113835,1.0449736839,0.8427757709,0.7220332402,0.9417441266,0.8426292186,0.7561891298,1.0467186824,0.745330799,0.9761572619,0.9483353837
0.9345999144,1.0254462443,0.9142401216,0.7954847579,0.8758932583,0.7128386914,0.8284720876,0.8820895646,0.9901141348,0.9332641641,0.6149829266
0.8559439234,0.8546472957,0.8940850071,0.8777995215,1.0463938073,0.8147956799,0.9783946034,0.9176110287,0.7662499592,0.9111964662,0.8092607738
0.8332118578,0.8805668629,0.8838037112,1.097114397,0.9235632084,0.8889066318,0.962560128,0.8106626919,0.7736258786,0.7258622459,0.8005579304
